Codigo;Producto;Cantidad; UnitPrice; Neto; Iva; Total;Despacho;Referencia;;
G67-032B20;SOPORTE DE ACERO;1750; 33,79 ; 59.124,49 ; 12.416,14 ; 71.540,64 ;131989a; juan32;;
 BT20251114 ; CELLPHONE BATTERY ;10; 1.733,99 ; 17.339,86   ; 3.641,37   ; 20.981,23   ;251682S;SEBA69;;
 VD25-DC19C ; USB CABLE ;8.000; 265,87 ; 2.126.927,68   ; 446.654,81   ; 2.573.582,49   ;272151M;SEBA72;;
 VD25-DC19CL ; USB CABLE ;8.000; 265,87 ; 2.126.927,68   ; 446.654,81   ; 2.573.582,49   ;272151M;SEBA72;;
 CVG2508021 ; TEMPERED GLASS ;20.400; 159,52 ; 3.254.199,35   ; 683.381,86   ; 3.937.581,21   ;272151M;SEBA72;;
 CVG2508026 ; TEMPERED GLASS ;13.600; 159,52 ; 2.169.466,23   ; 455.587,91   ; 2.625.054,14   ;272151M;SEBA72;;
CVG2508068;TEMPERED GLASS;13600; 159,52 ; 2.169.466,23   ; 455.587,91   ; 2.625.054,14   ;272151M;SEBA72;;
CVG2508055;TEMPERED GLASS;13200; 159,52 ; 2.105.658,40   ; 442.188,26   ; 2.547.846,67   ;272151M;SEBA72;;
CVG2508069;TEMPERED GLASS;12400; 159,52 ; 1.978.042,74   ; 415.388,98   ; 2.393.431,72   ;272151M;SEBA72;;
 CVG2508022 ; TEMPERED GLASS ;10.700; 159,52 ; 1.706.859,46   ; 358.440,49   ; 2.065.299,95   ;272151M;SEBA72;;
 CVG2508003 ; TEMPERED GLASS ;10.200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
 CVG2508023 ; TEMPERED GLASS ;10.200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
 CVG2508030 ; TEMPERED GLASS ;10.200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
 CVG2508032 ; TEMPERED GLASS ;10.200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
 CVG2508034 ; TEMPERED GLASS ;10.200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
CVG2508060;TEMPERED GLASS;10200; 159,52 ; 1.627.099,68   ; 341.690,93   ; 1.968.790,61   ;272151M;SEBA72;;
CVG2508070;TEMPERED GLASS;9600; 159,52 ; 1.531.387,93   ; 321.591,47   ; 1.852.979,40   ;272151M;SEBA72;;
 CVG2508011 ; TEMPERED GLASS ;9.500; 159,52 ; 1.515.435,97   ; 318.241,55   ; 1.833.677,53   ;272151M;SEBA72;;
 CVG2508042 ; TEMPERED GLASS ;7.100; 159,52 ; 1.132.588,99   ; 237.843,69   ; 1.370.432,68   ;272151M;SEBA72;;
 CVG2508041 ; TEMPERED GLASS ;7.000; 159,52 ; 1.116.637,03   ; 234.493,78   ; 1.351.130,81   ;272151M;SEBA72;;
CVG2508056;TEMPERED GLASS;6900; 159,52 ; 1.100.685,07   ; 231.143,87   ; 1.331.828,94   ;272151M;SEBA72;;
CVG2508074;TEMPERED GLASS;6900; 159,52 ; 1.100.685,07   ; 231.143,87   ; 1.331.828,94   ;272151M;SEBA72;;
 CVG2508008 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508016 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508017 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508018 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508019 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508020 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508024 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508028 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508036 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508037 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
 CVG2508038 ; TEMPERED GLASS ;6.800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508051;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508053;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508054;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508062;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508077;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508078;TEMPERED GLASS;6800; 159,52 ; 1.084.733,12   ; 227.793,95   ; 1.312.527,07   ;272151M;SEBA72;;
CVG2508067;TEMPERED GLASS;6700; 159,52 ; 1.068.781,16   ; 224.444,04   ; 1.293.225,20   ;272151M;SEBA72;;
 CVG2508048 ; TEMPERED GLASS ;6.600; 159,52 ; 1.052.829,20   ; 221.094,13   ; 1.273.923,33   ;272151M;SEBA72;;
 CVG2508010 ; TEMPERED GLASS ;6.400; 159,52 ; 1.020.925,29   ; 214.394,31   ; 1.235.319,60   ;272151M;SEBA72;;
CVG2508066;TEMPERED GLASS;6300; 159,52 ; 1.004.973,33   ; 211.044,40   ; 1.216.017,73   ;272151M;SEBA72;;
CVG2508076;TEMPERED GLASS;6100; 159,52 ; 973.069,41   ; 204.344,58   ; 1.177.413,99   ;272151M;SEBA72;;
CVG2508080;TEMPERED GLASS;5700; 159,52 ; 909.261,58   ; 190.944,93   ; 1.100.206,52   ;272151M;SEBA72;;
 CVG2508039 ; TEMPERED GLASS ;5.600; 159,52 ; 893.309,63   ; 187.595,02   ; 1.080.904,65   ;272151M;SEBA72;;
 CVG2508040 ; TEMPERED GLASS ;5.400; 159,52 ; 861.405,71   ; 180.895,20   ; 1.042.300,91   ;272151M;SEBA72;;
CVG2508058;TEMPERED GLASS;3400; 159,52 ; 542.366,56   ; 113.896,98   ; 656.263,54   ;272151M;SEBA72;;
CVG2508064;TEMPERED GLASS;3400; 159,52 ; 542.366,56   ; 113.896,98   ; 656.263,54   ;272151M;SEBA72;;
CVG2508073;TEMPERED GLASS;2900; 159,52 ; 462.606,77   ; 97.147,42   ; 559.754,19   ;272151M;SEBA72;;
CVG2508059;TEMPERED GLASS;1000; 159,52 ; 159.519,58   ; 33.499,11   ; 193.018,69   ;272151M;SEBA72;;
 CVG2508007 ; TEMPERED GLASS ;645; 159,52 ; 102.890,13   ; 21.606,93   ; 124.497,05   ;272151M;SEBA72;;
 CVG2508044 ; TEMPERED GLASS ;340; 159,52 ; 54.236,66   ; 11.389,70   ; 65.626,35   ;272151M;SEBA72;;
CVG2508075;TEMPERED GLASS;340; 159,52 ; 54.236,66   ; 11.389,70   ; 65.626,35   ;272151M;SEBA72;;
 CVG2508045 ; TEMPERED GLASS ;170; 159,52 ; 27.118,33   ; 5.694,85   ; 32.813,18   ;272151M;SEBA72;;
 CVG2508043 ; TEMPERED GLASS ;135; 159,52 ; 21.535,14   ; 4.522,38   ; 26.057,52   ;272151M;SEBA72;;
 CVG2508035 ; TEMPERED GLASS ;125; 159,52 ; 19.939,95   ; 4.187,39   ; 24.127,34   ;272151M;SEBA72;;
 CVG2508012 ; TEMPERED GLASS ;40; 159,52 ; 6.380,78   ; 1.339,96   ; 7.720,75   ;272151M;SEBA72;;
 CVG2508004 ; TEMPERED GLASS ;18; 159,52 ; 2.871,35   ; 602,98   ; 3.474,34   ;272151M;SEBA72;;
 CVG2508004 ; TEMPERED GLASS ;40.000; 179,41 ; 7.176.390,72   ; 1.507.042,05   ; 8.683.432,77   ;26557U;SEBA70;;
 CVG2508044 ; TEMPERED GLASS ;20.000; 179,41 ; 3.588.195,36   ; 753.521,03   ; 4.341.716,39   ;26557U;SEBA70;;
 CVG2508007 ; TEMPERED GLASS ; 705 ; 179,41 ; 126.483,89   ; 26.561,62   ; 153.045,50   ;26557U;SEBA70;;
 CVG2508052 ; TEMPERED GLASS ;150; 179,41 ; 26.911,47   ; 5.651,41   ; 32.562,87   ;26557U;SEBA70;;
 CVS250839 ; PLASTIC CASE ;17.000; 328,92 ; 5.591.604,44   ; 1.174.236,93   ; 6.765.841,37   ;26557U;SEBA70;;
 CVS250822 ; PLASTIC CASE ;4.400; 328,92 ; 1.447.238,80   ; 303.920,15   ; 1.751.158,94   ;26557U;SEBA70;;
 CVS250823 ; PLASTIC CASE ;4.400; 328,92 ; 1.447.238,80   ; 303.920,15   ; 1.751.158,94   ;26557U;SEBA70;;
 CVS250854 ; PLASTIC CASE ;4.400; 328,92 ; 1.447.238,80   ; 303.920,15   ; 1.751.158,94   ;26557U;SEBA70;;
 CVS250812 ; PLASTIC CASE ;4.100; 328,92 ; 1.348.563,42   ; 283.198,32   ; 1.631.761,74   ;26557U;SEBA70;;
 CVS250813 ; PLASTIC CASE ;4.100; 328,92 ; 1.348.563,42   ; 283.198,32   ; 1.631.761,74   ;26557U;SEBA70;;
 CVS250825 ; PLASTIC CASE ;3.700; 328,92 ; 1.216.996,26   ; 255.569,21   ; 1.472.565,47   ;26557U;SEBA70;;
 CVS250838 ; PLASTIC CASE ;3.555; 328,92 ; 1.169.303,16   ; 245.553,66   ; 1.414.856,83   ;26557U;SEBA70;;
 CVS25085 ; PLASTIC CASE ;3.200; 328,92 ; 1.052.537,31   ; 221.032,83   ; 1.273.570,14   ;26557U;SEBA70;;
 CVS250818 ; PLASTIC CASE ;3.200; 328,92 ; 1.052.537,31   ; 221.032,83   ; 1.273.570,14   ;26557U;SEBA70;;
 CVS25087 ; PLASTIC CASE ;2.600; 328,92 ; 855.186,56   ; 179.589,18   ; 1.034.775,74   ;26557U;SEBA70;;
JOB25803G;TV STICK;100; 4.321,20 ; 432.120,31   ; 90.745,27   ; 522.865,58   ;251682S;SEBA69;;
 CVSLTC1025 ; SELFIE TRIPOD STICK ;1000; 2.752,36 ; 2.752.358,67   ; 577.995,32   ; 3.330.353,99   ;251682S;SEBA69;;
 CVSLTM2025 ; SELFIE TRIPOD STICK ;500; 3.495,50 ; 1.747.747,75   ; 367.027,03   ; 2.114.774,78   ;251682S;SEBA69;;
 CVSLTF5025 ; SELFIE TRIPOD STICK ;500; 3.247,78 ; 1.623.891,61   ; 341.017,24   ; 1.964.908,85   ;251682S;SEBA69;;
 CVC25081 ; PLASTIC HOLDER ;10000; 220,19 ; 2.201.886,93   ; 462.396,26   ; 2.664.283,19   ;251682S;SEBA69;;
 CVOS25081 ; PLASTIC HOLDER ;5000; 192,67 ; 963.325,53   ; 202.298,36   ; 1.165.623,90   ;251682S;SEBA69;;
 BT20251135 ; CELLPHONE BATTERY ;10500; 1.175,26 ; 12.340.200,09   ; 2.591.442,02   ; 14.931.642,10   ;251682S;SEBA69;;
 BT20251139 ; CELLPHONE BATTERY ;7000; 1.175,26 ; 8.226.800,06   ; 1.727.628,01   ; 9.954.428,07   ;251682S;SEBA69;;
 BT20251137 ; CELLPHONE BATTERY ;2100; 1.194,52 ; 2.508.499,69   ; 526.784,93   ; 3.035.284,62   ;251682S;SEBA69;;
 BT20251136 ; CELLPHONE BATTERY ;1400; 1.194,52 ; 1.672.333,13   ; 351.189,96   ; 2.023.523,08   ;251682S;SEBA69;;
 BT20251128 ; CELLPHONE BATTERY ;420; 1.233,06 ; 517.883,81   ; 108.755,60   ; 626.639,41   ;251682S;SEBA69;;
 BT20251150 ; CELLPHONE BATTERY ;700; 732,13 ; 512.489,18   ; 107.622,73   ; 620.111,91   ;251682S;SEBA69;;
